Date,High,Low,Open,Close,Volume,Adj Close
2019-12-31,7335.2900390625,7169.77783203125,7294.43896484375,7193.59912109375,21167946112,7193.59912109375
2020-01-01,7254.33056640625,7174.9443359375,7194.89208984375,7200.17431640625,18565664996,7200.17431640625
2020-01-02,7212.1552734375,6935.27001953125,7202.55126953125,6985.47021484375,20802083465,6985.47021484375
2020-01-03,7413.71533203125,6914.99609375,6984.4287109375,7344.88427734375,28111481031,7344.88427734375
2020-01-04,7427.3857421875,7309.51416015625,7345.37548828125,7410.65673828125,18444271274,7410.65673828125
2020-01-05,7544.4970703125,7400.53564453125,7410.45166015625,7411.3173828125,19725074094,7411.3173828125
2020-01-06,7781.8671875,7409.29296875,7410.4521484375,7769.21923828125,23276261598,7769.21923828125
2020-01-07,8178.2158203125,7768.2275390625,7768.68212890625,8163.6923828125,28767291326,8163.6923828125
2020-01-08,8396.73828125,7956.7744140625,8161.935546875,8079.86279296875,31672559264,8079.86279296875
2020-01-09,8082.2958984375,7842.40380859375,8082.2958984375,7879.0712890625,24045990465,7879.0712890625
2020-01-10,8166.55419921875,7726.77490234375,7878.3076171875,8166.55419921875,28714583843,8166.55419921875
2020-01-11,8218.359375,8029.64208984375,8162.19091796875,8037.53759765625,25521165085,8037.53759765625
2020-01-12,8200.0634765625,8009.05908203125,8033.26171875,8192.494140625,22903438381,8192.494140625
2020-01-13,8197.7880859375,8079.70068359375,8189.77197265625,8144.1943359375,22482910687,8144.1943359375
2020-01-14,8879.51171875,8140.93310546875,8140.93310546875,8827.7646484375,44841784107,8827.7646484375
2020-01-15,8890.1171875,8657.1875,8825.34375,8807.0107421875,40102834649,8807.0107421875
2020-01-16,8846.4609375,8612.095703125,8812.4814453125,8723.7861328125,31313981930,8723.7861328125
2020-01-17,8958.1220703125,8677.31640625,8725.2099609375,8929.0380859375,36372139320,8929.0380859375
2020-01-18,9012.1982421875,8827.33203125,8927.2119140625,8942.80859375,32337772626,8942.80859375
2020-01-19,9164.3623046875,8620.080078125,8941.4453125,8706.2451171875,34217320471,8706.2451171875
2020-01-20,8745.5908203125,8560.4736328125,8704.6318359375,8657.642578125,26422375678,8657.642578125
2020-01-21,8755.7060546875,8544.5205078125,8658.9912109375,8745.89453125,24097418512,8745.89453125
2020-01-22,8792.994140625,8636.7470703125,8744.2109375,8680.8759765625,22600204050,8680.8759765625
2020-01-23,8687.7470703125,8333.6376953125,8680.650390625,8406.515625,25770680778,8406.515625
2020-01-24,8514.6669921875,8266.8408203125,8405.5673828125,8445.4345703125,24397913025,8445.4345703125
2020-01-25,8458.453125,8296.21875,8440.119140625,8367.84765625,19647331548,8367.84765625
2020-01-26,8602.4013671875,8325.498046875,8364.41015625,8596.830078125,22177678795,8596.830078125
2020-01-27,8977.7265625,8597.30859375,8597.30859375,8909.8193359375,28647338393,8909.8193359375
2020-01-28,9358.58984375,8908.447265625,8912.5244140625,9358.58984375,34398744402,9358.58984375
2020-01-29,9406.431640625,9269.4677734375,9357.470703125,9316.6298828125,30682598115,9316.6298828125
2020-01-30,9553.1259765625,9230.8974609375,9316.0166015625,9508.9931640625,32378792850,9508.9931640625
2020-01-31,9521.7060546875,9230.7763671875,9508.3134765625,9350.529296875,29432489719,9350.529296875
2020-02-01,9439.3232421875,9313.2392578125,9346.357421875,9392.875,25922656496,9392.875
2020-02-02,9468.7978515625,9217.82421875,9389.8203125,9344.365234375,30835736946,9344.365234375
2020-02-03,9540.3720703125,9248.6337890625,9344.68359375,9293.521484375,30934096508,9293.521484375
2020-02-04,9331.265625,9112.8115234375,9292.841796875,9180.962890625,29893183716,9180.962890625
2020-02-05,9701.2998046875,9163.7041015625,9183.416015625,9613.423828125,35222060874,9613.423828125
2020-02-06,9824.619140625,9539.818359375,9617.8212890625,9729.8017578125,37628823715,9729.8017578125
2020-02-07,9834.716796875,9726.0029296875,9726.0029296875,9795.943359375,34522718159,9795.943359375
2020-02-08,9876.7490234375,9678.91015625,9793.0703125,9865.119140625,35172043761,9865.119140625
2020-02-09,10129.435546875,9850.392578125,9863.89453125,10116.673828125,35807884663,10116.673828125
2020-02-10,10165.765625,9784.5634765625,10115.5595703125,9856.611328125,39386548074,9856.611328125
2020-02-11,10210.052734375,9729.3349609375,9855.8916015625,10208.236328125,37648059388,10208.236328125
2020-02-12,10393.611328125,10202.3876953125,10202.3876953125,10326.0546875,43444303830,10326.0546875
2020-02-13,10457.626953125,10116.1611328125,10323.9609375,10214.3798828125,49356071372,10214.3798828125
2020-02-14,10321.99609375,10125.5341796875,10211.55078125,10312.1162109375,43338264161,10312.1162109375
2020-02-15,10341.5556640625,9874.427734375,10313.8564453125,9889.4248046875,43865054831,9889.4248046875
2020-02-16,10053.96875,9722.38671875,9889.1796875,9934.43359375,43374780305,9934.43359375
2020-02-17,9938.8154296875,9507.6376953125,9936.560546875,9690.142578125,45998298412,9690.142578125
2020-02-18,10161.935546875,9632.3828125,9691.23046875,10141.99609375,47271023953,10141.99609375
2020-02-19,10191.67578125,9611.2236328125,10143.798828125,9633.38671875,46992019709,9633.38671875
2020-02-20,9643.216796875,9507.900390625,9629.3251953125,9608.4755859375,44925260236,9608.4755859375
2020-02-21,9723.0146484375,9589.7431640625,9611.7822265625,9686.44140625,40930547512,9686.44140625
2020-02-22,9698.2314453125,9600.728515625,9687.70703125,9663.181640625,35838025154,9663.181640625
2020-02-23,9937.404296875,9657.791015625,9663.318359375,9924.515625,41185185761,9924.515625
2020-02-24,9951.74609375,9537.04296875,9921.5830078125,9650.1748046875,45080496648,9650.1748046875
2020-02-25,9652.7373046875,9305.021484375,9651.3125,9341.705078125,42515259129,9341.705078125
2020-02-26,9354.7783203125,8704.4267578125,9338.2900390625,8820.5224609375,50420050761,8820.5224609375
2020-02-27,8932.892578125,8577.19921875,8825.09375,8784.494140625,45470195695,8784.494140625
2020-02-28,8890.4560546875,8492.9326171875,8788.728515625,8672.455078125,44605450442,8672.455078125
2020-02-29,8775.6318359375,8599.5087890625,8671.212890625,8599.5087890625,35792392544,8599.5087890625
2020-03-01,8726.796875,8471.212890625,8599.7587890625,8562.4541015625,35349164300,8562.4541015625
